id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
131244,Giardino dei Melograni  Economy Room,630328,Kosher House,Isole,Cannaregio,45.44487,12.32642,Hotel room,80,1,25,2019-12-29,0.24,23,288
131822,Giardino dei Melograni triple room,630328,Kosher House,Isole,Cannaregio,45.44634,12.32597,Hotel room,130,1,7,2015-09-19,0.08,23,284
131895,Giardino dei Melograni DUS,630328,Kosher House,Isole,Cannaregio,45.44494,12.32759,Hotel room,80,1,8,2017-04-15,0.09,23,259
131939,Giardino dei Melograni family room,630328,Kosher House,Isole,Cannaregio,45.44601,12.32668,Hotel room,190,1,2,2016-10-23,0.03,23,283
134035,HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,653451,Sara,Isole,Castello,45.43438,12.34683,Entire home/apt,135,2,65,2019-10-23,0.64,1,353
136713,Ca' Del Mercante Grand Canal with Roof Terrace,669047,Viewsonvenice,Isole,San Polo,45.43556,12.327,Entire home/apt,263,3,58,2019-11-02,1.29,76,330
137087,A true Venetian house near St. Mark,264845,Paola,Isole,Castello,45.43655,12.34655,Entire home/apt,99,3,82,2020-01-03,0.84,2,320
137304,"""BOUDOIR"" IN10 MINUTES FROM VENICE",671512,Zoia,Terraferma,Altobello,45.48554,12.24628,Private room,55,1,117,2019-05-11,1.26,1,363
139786,Ca' Grassi 2 Charme Apartment,669047,Viewsonvenice,Isole,San Marco,45.43452,12.32931,Entire home/apt,122,3,23,2019-10-12,0.24,76,329
139802,Ca' Grassi 1 Apartment for 4/5 Guests,669047,Viewsonvenice,Isole,San Marco,45.43314,12.32859,Entire home/apt,171,3,42,2019-10-21,0.50,76,351
140197,Nest of Love- Near  RIALTO BRIDGE,683035,Paola,Isole,San Polo,45.43919,12.33397,Entire home/apt,86,2,638,2020-01-01,6.15,1,330
142085,Widmann apartment in Venice centre,690500,Tisone,Isole,Cannaregio,45.44018,12.33788,Entire home/apt,92,5,309,2020-01-03,3.01,1,139
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44324,12.33954,Private room,58,1,406,2019-10-31,3.93,6,167
145346,"DOUBLE ROOM WITH A PRIVATE BATHROOM, OWN ENTRANCE",119219,Elisa,Isole,Cannaregio,45.4421,12.32146,Private room,78,2,255,2019-11-02,2.45,6,0
145631,My Casa Allegra Venice Mestre Private Studio!,704911,Alessandra,Terraferma,Villaggio San Marco,45.482,12.2592,Private room,48,2,604,2019-12-29,5.82,1,265
146821,Ca' dell' Ambasciatore Venezia,709828,Roberto,Isole,Castello,45.43265,12.35169,Entire home/apt,390,3,114,2019-11-03,1.29,2,277
148066,Happy Venice-elegant flat in S.Marc,715286,Roberto,Isole,San Marco,45.4345,12.33721,Entire home/apt,170,3,98,2019-11-25,1.20,1,338
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.43601,12.34373,Hotel room,140,2,25,2020-01-02,0.25,3,323
148794,elegant house of 500 in Venice,685618,Luisa,Isole,Cannaregio,45.44374,12.33219,Entire home/apt,110,2,166,2019-11-03,1.61,1,360
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44041,12.34096,Entire home/apt,125,1,232,2019-12-01,2.31,1,153
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44184,12.32786,Entire home/apt,90,3,267,2019-12-23,2.66,6,288
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44077,12.33096,Entire home/apt,120,3,194,2019-12-17,2.00,6,299
160017,"Venice: house in the green, wi-fi",767044,Elisabetta,Terraferma,Bissuola,45.49859,12.2654,Entire home/apt,76,3,111,2019-10-26,1.11,1,280
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.43322,12.32072,Entire home/apt,150,2,286,2020-01-04,2.77,2,337
163685,Ca'Falcao - Air-conditioning & Wifi,781124,Nicolò,Isole,Cannaregio,45.44262,12.32485,Entire home/apt,97,3,323,2020-01-02,3.64,1,266
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.43712,12.34393,Hotel room,62,2,143,2019-10-29,1.39,3,305
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43996,12.33265,Hotel room,96,2,281,2019-11-10,3.98,4,322
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43405,12.33528,Entire home/apt,140,2,158,2019-08-31,1.54,1,292
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,Santa Croce,45.43986,12.33153,Entire home/apt,318,4,12,2019-01-03,0.20,4,340
170523,"Venice Home: only 2 persons, loving",813513,Mara,Terraferma,Carpenedo,45.49772,12.24932,Entire home/apt,55,5,186,2019-11-20,1.82,2,351
175509,Guest House BELLA ONDA (3x triple),848085,Valentina,Terraferma,Tessera,45.50275,12.32549,Hotel room,500,1,30,2019-08-11,0.32,4,172
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.4354,12.34194,Hotel room,100,2,71,2019-09-28,0.70,3,324
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43704,12.33873,Entire home/apt,61,2,454,2019-12-01,4.55,2,134
215895,Great view apartment very central,9701290,Nicoletta,Isole,Cannaregio,45.4413,12.33764,Entire home/apt,195,3,215,2019-12-31,2.30,4,304
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43767,12.34657,Entire home/apt,120,1,38,2019-12-24,0.38,1,244
218393,Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49713,12.24943,Entire home/apt,39,5,187,2019-12-31,1.86,2,329
220238,Large apartment for 4,693554,Valentina,Isole,Castello,45.43275,12.35308,Entire home/apt,150,3,209,2019-11-25,2.07,1,260
234465,Sunny house Venice,1227993,Giorgio,Isole,Dorsoduro,45.43379,12.32053,Entire home/apt,110,3,43,2019-10-26,0.44,2,318
235221,Attic with GrandCanal Views,1229136,Martina,Isole,San Marco,45.43386,12.32865,Entire home/apt,270,3,121,2019-10-24,1.24,6,218
236585,lovely apartment Venice Lido with terrace,1240373,Francy,Isole,Lido,45.41637,12.37402,Entire home/apt,99,3,162,2019-10-15,1.62,1,270
237098,Cozy Studio Venice Heart  FREE WIFI,283131,Anunxiata,Isole,San Polo,45.43695,12.32982,Entire home/apt,145,3,178,2019-11-01,1.77,7,0
238362,Villa aiTigli Room 1 with bathroom: up to 4 Pax,564594,Eliana,Terraferma,Tessera,45.5037,12.32116,Hotel room,60,1,80,2019-12-15,0.89,6,332
238374,Villa aiTigli Room 2 with bathroom: up to 5 Pax,564594,Eliana,Terraferma,Tessera,45.50354,12.31955,Private room,60,1,100,2019-09-06,1.08,6,323
238380,Villa ai Tigli - Room 3 - 3 Pax,564594,Eliana,Terraferma,Tessera,45.50428,12.32081,Private room,60,1,64,2019-11-02,0.69,6,330
238383,Villa aiTigli-Room 4-Bathroom in Room-Disabilities,564594,Eliana,Terraferma,Tessera,45.50239,12.32106,Private room,60,1,86,2020-01-01,1.06,6,349
238960,CA' DOLCE *stunning Channel Views* Free wi-fi :-),283131,Anunxiata,Isole,Cannaregio,45.44234,12.33722,Entire home/apt,195,3,129,2019-11-09,1.29,7,328
242296,blacksmith's hearth,1271580,Adriana,Isole,Cannaregio,45.44606,12.32429,Entire home/apt,120,3,267,2020-01-03,2.67,1,354
246649,Venitian apartment  new and clean!,1275479,Giorgia&Michele,Isole,Santa Croce,45.43775,12.32251,Entire home/apt,160,3,265,2019-11-11,2.69,4,289
247270,Venice Apartments in Mestre,1296429,Tiziana,Terraferma,Chirignago,45.48641,12.19883,Entire home/apt,105,4,155,2019-10-07,1.67,1,365
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.4366,12.34584,Private room,106,3,25,2019-03-31,0.27,2,336
260204,Conceptual Devices Apartment 2,1365288,Antonio,Isole,Cannaregio,45.44247,12.32975,Entire home/apt,75,7,155,2019-10-20,1.59,2,298
261432,Rooftop Studio in Cannaregio (CDA1),1365288,Antonio,Isole,Cannaregio,45.44378,12.32905,Entire home/apt,60,7,139,2020-01-02,1.40,2,336
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43691,12.34493,Private room,110,3,54,2019-08-27,0.78,2,350
263796,Dimora Canaletto - Casa dei Pittori,1384217,Simone - Francesco,Isole,Santa Croce,45.44022,12.32676,Entire home/apt,230,2,3,2018-06-28,0.06,7,331
265406,large double room-> heart of Venice,703872,Leonardo E Irene,Isole,Cannaregio,45.44166,12.3407,Private room,58,1,455,2019-11-24,5.10,6,163
268865,AltanaAlbaChiara BestViewOfVenice,1408761,Chiara,Isole,San Marco,45.43739,12.3361,Entire home/apt,150,3,177,2019-12-28,1.94,6,233
271400,Cà 5393 SmArt: spacious sun bathed lovely house,1420314,Chantal,Isole,Cannaregio,45.43994,12.34058,Entire home/apt,150,3,16,2019-01-02,0.18,4,343
271402,"Cà 5393 Vintage, the coolest house in Venice!",1420314,Chantal,Isole,Cannaregio,45.44103,12.34065,Entire home/apt,150,3,26,2019-10-14,0.32,4,350
271409,"Cà 5393 Orange, cozy house at the ground floor",1420314,Chantal,Isole,Cannaregio,45.43989,12.33936,Entire home/apt,110,3,25,2019-10-14,0.30,4,351
271412,"Cà 5393 Chromotherapy, find new energy in colors!",1420314,Chantal,Isole,Cannaregio,45.44142,12.33968,Entire home/apt,150,3,39,2019-10-05,0.49,4,346
272585,Apartment Fiori della Laguna,1426634,Claudia E Giorgio,Isole,Dorsoduro,45.43081,12.33545,Entire home/apt,80,2,109,2019-12-30,1.15,3,359
275264,LEONARDO stylish sunny canal view,1438903,Barbara,Isole,Cannaregio,45.44185,12.34147,Entire home/apt,150,2,45,2019-10-22,0.49,24,156
284305,CASA CLARA lots of comfort & space!,1480780,Ivo... & Family,Terraferma,Marghera,45.47791,12.22556,Entire home/apt,85,2,265,2019-10-28,2.72,1,307
286068,Romantic room with view between S.Marco and Rialto,567508,Nicola,Isole,Castello,45.43712,12.33912,Private room,40,2,166,2019-12-16,1.72,10,0
286350,Corte dei Santi - San Marco,1490179,Laura,Isole,San Polo,45.43852,12.32876,Entire home/apt,100,2,19,2018-04-19,0.20,12,263
286388,Nice apartment in a building with a courtyard,1490179,Laura,Isole,Santa Croce,45.43591,12.32362,Entire home/apt,80,2,65,2019-10-06,0.67,12,212
286939,Corte dei Santi - San Geremia,1490179,Laura,Isole,Santa Croce,45.43609,12.32351,Entire home/apt,100,2,35,2019-04-14,0.38,12,261
288778,"comfortable, clean Italian room",1420192,Michele,Terraferma,Santa Barbara,45.48659,12.20957,Private room,49,2,85,2017-06-09,0.92,1,364
289477,"Apartment ""Venice""",377929,Attilio,Terraferma,Favaro,45.50718,12.28264,Entire home/apt,50,2,33,2019-12-25,0.39,5,308
290426,"EXQUISITE,VENICE ,space & quiet",1506785,Eric,Isole,Dorsoduro,45.43429,12.32092,Entire home/apt,99,2,82,2020-01-02,1.07,1,362
293520,"Heart of Venice, amazing  house!",1517643,Nicola,Isole,San Polo,45.43924,12.32922,Entire home/apt,130,7,70,2019-11-08,0.82,1,278
