id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9615436,"Great value, modern, close to train",49743989,Melissa,,Whitehorse,-37.82569,145.17622,Private room,70,2,17,2018-03-24,0.33,2,293
9616211,Huge room in beautiful Toorak,49751711,Amy,,Stonnington,-37.83679,145.01011,Private room,52,1,1,2016-02-01,0.02,1,0
9617978,Beautiful light filled apartment,25340064,Natalie,,Stonnington,-37.85831,145.00517,Entire home/apt,100,2,131,2020-01-27,2.63,2,345
9618618,Convenient & stunning room Seddon,19541867,Lisa,,Maribyrnong,-37.81017,144.89164,Private room,76,1,1,2015-12-05,0.02,1,0
9619141,For The Love of Lifestyle!,2351222,Chelsea,,Bayside,-37.88519,144.99687,Entire home/apt,80,2,21,2016-04-18,0.41,1,0
9619551,Private resort living,49767054,Rachael-Anne,,Frankston,-38.18863,145.12622,Entire home/apt,499,7,0,,,1,0
9621623,"Great value near Airport, 20 min to City, 4 Bdrms",15651267,Serviced Houses Australia,,Moreland,-37.70338,144.89895,Entire home/apt,235,1,7,2019-10-01,0.14,15,347
9631445,Double room in friendly houseshare,49813558,Nicole,,Moonee Valley,-37.76581,144.90808,Private room,25,1,2,2016-01-09,0.04,1,0
9632600,Sandhurst Golf Club B&B,4582064,Louise,,Frankston,-38.07952,145.21676,Private room,51,2,5,2020-01-12,0.10,2,141
9633035,Large room available in South Yarra,49819059,Haidi,,Stonnington,-37.83917,145.00274,Private room,40,1,1,2016-01-12,0.02,1,0
9633362,Private Room with an Amazing View,25073904,Carla,,Port Phillip,-37.83472,144.97178,Private room,95,2,38,2019-01-21,0.74,1,150
9633979,Charming character apartment,12016338,Amberley & Jimmy,,Stonnington,-37.84287,145.00315,Entire home/apt,89,4,0,,,1,0
9634205,"A new, one queen bedroom apartment",21351202,Ciara,,Port Phillip,-37.86625,144.98277,Entire home/apt,135,3,0,,,1,0
9635604,Luxury house near lake and shops,9733243,Aimy,,Maribyrnong,-37.78758,144.89548,Private room,54,2,1,2015-12-26,0.02,1,0
9635882,Great Neighbourhood,42562580,Jakob,,Moreland,-37.77773,144.97417,Private room,45,1,1,2015-12-13,0.02,1,0
9636693,Cozy Minimalist Private Bedroom,49836498,Fez,,Melbourne,-37.81072,144.96544,Private room,89,1,4,2017-10-28,0.14,1,0
9637317,Room 90 seconds walk to Monash Uni,49839162,Duyen,,Monash,-37.9117,145.12672,Private room,60,3,0,,,1,228
9638569,Fresh&Stylish 1BR apartment,5410392,Niina,,Stonnington,-37.84301,145.01078,Entire home/apt,121,2,7,2016-12-31,0.14,1,0
9639349,Beautiful private room!,16119834,Elia,,Glen Eira,-37.87059,145.01298,Private room,51,1,0,,,1,0
9640465,Stylish living St Kilda Beach +wifi,49852062,Edem,,Port Phillip,-37.86535,144.98484,Entire home/apt,140,3,16,2020-02-01,0.32,1,151
9640873,"Bright & Welcoming, Resort-Style Apartment Complex",6692228,Kishka,,Darebin,-37.7648,145.02262,Private room,45,1,24,2019-11-15,0.47,2,0
9640893,Breezy Brunswick Family Home,19133167,Bianca,,Moreland,-37.7603,144.96655,Entire home/apt,144,3,8,2017-10-15,0.16,1,0
9650067,Soulful living in Seaford Melbourne,49890374,Tanya And Tim,,Frankston,-38.10928,145.15741,Entire home/apt,118,5,2,2020-01-19,0.04,1,0
9651475,Converted Warehouse Apartment with 3 Bedrooms,4161047,Campbell,,Port Phillip,-37.84807,144.94986,Private room,144,2,111,2020-02-13,2.18,2,56
9652951,The Strawberry Farm Retreat,49907333,Dawn,,Yarra Ranges,-37.79593,145.45509,Entire home/apt,600,2,59,2020-01-18,1.17,3,301
9653400,small room in Fitzroy Apartment,49903946,Will,,Yarra,-37.80196,144.98217,Private room,51,1,2,2016-01-28,0.04,1,0
9653802,St Kilda Apt - walk to beach,49905759,Tom,,Port Phillip,-37.85951,144.97606,Entire home/apt,121,2,2,2016-03-23,0.04,1,0
9654530,Serenity,49909070,Michael,,Yarra Ranges,-37.82474,145.36901,Entire home/apt,301,2,25,2020-01-12,0.61,1,88
9656062,Large 2 Bdr Home in Heart of Melb,20331098,Irene,,Port Phillip,-37.86142,145.00754,Entire home/apt,121,7,6,2017-01-05,0.12,2,0
9656450,A Cozy CBD Suite on Collins St Near Southern Cross,8530753,Jared SSP,,Melbourne,-37.81745,144.95433,Entire home/apt,109,1,243,2020-02-02,4.75,76,339
9659125,"4BDR &2 BATH guest house in point cook,melbourne",8668696,Qiaoling,,Wyndham,-37.90191,144.73409,Entire home/apt,189,2,224,2020-02-05,4.53,2,345
9660808,The Elegancy 2 Bedroom apt in Melb CBD top floor,35789055,Melbourne Sky Apartment,,Melbourne,-37.81571,144.95303,Entire home/apt,149,1,196,2019-12-19,3.84,38,142
9665695,2 BDRM Apartment in Burnley,13252672,Sophie,,Yarra,-37.82796,145.0107,Entire home/apt,140,7,16,2019-01-05,0.32,2,282
